n,sigma3_n,e4_coeff_n
550,188822988,45317517120
551,167315400,40155696000
552,199311840,47834841600
553,169605760,40705382400
554,191285406,45908497440
555,178707312,42889754880
556,196050260,47052062400
557,172808694,41474086560
558,202972896,48713495040
559,174758584,41942060160
560,202893264,48694383360
561,183272544,43985410560
562,199692378,47926170720
563,178453548,42828851520
564,212216256,50931901440
565,181805148,43633235520
566,203986692,48956806080
567,189847064,45563295360
568,209378520,50250844800
569,184220010,44212802400
570,217818720,52276492800
571,186169412,44680658880
572,213724728,51293934720
573,195100416,46824099840
574,213382512,51211802880
575,191658168,45997960320
576,226791901,54430056240
577,192100034,46104008160
578,217282347,52147763280
579,201293624,48310469760
580,224339220,53841412800
581,196695072,47206817280
582,229993848,55198523520
583,198305496,47593319040
584,227575530,54618127200
585,209649636,50315912640
586,226383822,54332117280
587,202262004,48542880960
588,241177692,57882646080
589,204373120,49049548800
590,232900920,55896220800
591,214070472,51376913280
592,237111374,56906729760
593,208527858,50046685920
594,245034720,58808332800
595,212992416,51118179840
596,241480350,57955284000
597,220656800,52957632000
598,240707376,57769770240
599,214921800,51581232000
600,258001380,61920331200
601,217081802,52099632480
602,246156768,59077624320
603,227678348,54642803520
604,251335496,60320519040
605,223384518,53612284320
606,259636104,62312664960
607,223648544,53675650560
608,256900140,61656033600
609,234924480,56381875200
610,257397588,61775421120
611,228205152,54769236480
612,271552554,65172612960
613,230346398,55283135520
614,260409996,62498399040
615,243156816,58357635840
616,268051680,64332403200
617,234885114,56372427360
618,275367456,66088189440
619,237176660,56922398400
620,274026816,65766435840
621,248713920,59691340800
622,270722088,64973301120
623,242509680,58202323200
624,288087464,69140991360
625,246109501,59066280240
626,275978682,66234883680
627,255850560,61404134400
628,282502262,67800542880
629,248913756,59739301440
630,295302672,70872641280
631,251239592,60297502080
632,288428400,69222816000
633,263030096,63127223040
634,286695126,68806830240
635,258096384,61943132160
636,304306632,73033591680
637,259348614,62243667360
638,292387320,70172956800
639,270939384,65025452160
640,301989870,72477568800
641,263374722,63209933280
642,308711088,74090661120
643,265847708,63803449920
644,305562816,73335075840
645,280504224,67321013760
646,303390360,72813686400
647,270840024,65001605760
648,322850385,77484092400
649,273566160,65655878400
650,311586282,74780707680
651,286956544,68869570560
652,316144604,75874704960
653,278445078,66826818720
654,326347560,78323414400
655,283259592,67982302080
656,322623882,77429731680
657,294486626,70676790240
658,321439104,77145384960
659,286191180,68685883200
660,343048608,82331665920
661,288804782,69313147680
662,326382228,78331734720
663,302427216,72582531840
664,334495980,80279035200
665,297339840,71361561600
666,345105702,82825368480
667,296777520,71226604800
668,339994872,81598769280
669,310507904,74521896960
670,341066376,81855930240
671,302340024,72561605760
672,360708768,86570104320
673,304821218,73157092320
674,344454786,82669148640
675,321950440,77268105600
676,352517511,84604202640
677,310288734,74469296160
678,363610296,87266471040
679,313959856,75350365440
680,362210940,86930625600
681,327518352,78604404480
682,357146496,85715159040
683,318611988,76466877120
684,379090460,90981710400
685,323990604,77757744960
686,364244400,87418656000
687,336251720,80700412800
688,372176948,89322467520
689,327233844,78536122560
690,386358336,92726000640
691,329939372,79185449280
692,377973414,90713619360
693,346863456,83247229440
694,376037316,90248955840
695,338388120,81213148800
696,399508200,95881968000
697,338682708,81283849920
698,382576950,91818468000
699,354181464,85003551360
700,395539112,94929386880
701,344472102,82673304480
702,404344080,97042579200
703,347486440,83396745600
704,399057876,95773890240
705,366291072,87909857280
706,395882802,95011872480
707,354423888,85061733120
708,419796720,100751212800
709,356400830,85536199200
710,405872208,97409329920
711,373231280,89575507200
712,412407450,98977788000
713,362509056,87002173440
714,425984832,102236359680
715,368894736,88534736640
716,418679820,100483156800
717,382253760,91740902400
718,416414520,99939484800
719,371694960,89206790400
720,446483142,107155954080
721,375898432,90215623680
722,423474669,101633920560
723,391930616,94063347840
724,432871166,103889079840
725,384166890,92200053600
726,446769036,107224568640
727,384240584,92217740160
728,442325520,106158124800
729,402321277,96557106480
730,441146412,105875138880
731,390702312,93768554880
732,463951208,111348289920
733,393832838,94519881120
734,444877776,106770666240
735,416279304,99907032960
736,455679432,109363063680
737,400617648,96148235520
738,469565586,112695740640
739,403583420,96860020800
740,465915492,111819718080
741,422191840,101326041600
742,460926288,110622309120
743,410172408,98441377920
744,487992960,117118310400
745,416801700,100032408000
746,467056062,112093454880
747,432843516,103882443840
748,477817704,114676248960
749,421415136,101139632640
750,496156752,119077620480
751,423564752,101655540480
752,486000144,116640034560
753,442771056,106265053440
754,482482980,115795915200
755,433811952,104114868480
756,513289280,123189427200
757,433798094,104111542560
758,489959460,117590270400
759,453817728,108916254720
760,505650600,121356144000
761,440711082,105770659680
762,516192768,123886264320
763,445490320,106917676800
764,508654656,122077117440
765,468707148,112489715520
766,505636992,121352878080
767,451425240,108342057600
768,536870908,128849017920
769,454756610,109141586400
770,519607872,124705889280
771,475288632,114069271680
772,524801234,125952296160
773,461889918,110853580320
774,541688004,130005120960
775,469253792,112620910080
776,533914290,128139429600
777,487899328,117095838720
778,529774830,127145959200
779,472804920,113473180800
780,566081712,135859610880
781,476738784,114417308160
782,538141968,129154072320
783,498531600,119647584000
784,552325233,132558055920
785,487606644,117025594560
786,566519184,135964604160
787,487443404,116986416960
788,558112302,133946952480
789,509360544,122246530560
790,559107360,134185766400
791,496356912,119125658880
792,589869540,141568689600
793,498906436,119737544640
794,563136966,135152871840
795,525241584,126057980160
796,575283800,138068112000
797,506261574,121502777760
